,Location,Price,Name,Date,Feature0,Feature1,Feature3,Feature2
183,"39, Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","3,5 triệu/tháng- 40 m2",Phòng trọ mới xây cần cho thuê!,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 1.000.000 đ,
184,"112/3, Đường Quang Trung, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",4 triệu/tháng- 60 m2,Cho thuê phòng ở giá tốt trung tâm Đà Nẵng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 60 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
185,"Mẹ Suốt, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,2 triệu/tháng- 12 m2",Phòng cho thuê,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 12 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
186,"Đường Quốc lộ 1A, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",700.000 đ/tháng- 15 m2,Cho thuê phòng trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,,
187,"Đường Lương Ngọc Quyến, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","1,3 triệu/tháng- 30 m2",cho thuê nhà/phòng trọ trung tâm đà nẵng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,,
188,"k172/01B, Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",2 triệu/tháng- 50 m2,Phòng trọ 50m2 đường Hoàng Văn Thái,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 50 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
189,"4, Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng","1,1 triệu/tháng- 40 m2","CĂN HỘ, DORM, KTX CHẤT LƯỢNG CAO- LÊ HỒNG PHONG",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 1.100.000 đ,Tình trạng nội thất: Nội thất đầy đủ
190,"Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng","2,3 triệu/tháng- 25 m2","Phòng sạch đẹp thoáng mát Ngô Quyền,cầu sông Hàn",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,,Tình trạng nội thất: Nội thất đầy đủ
191,"Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","2,3 triệu/tháng- 22 m2",Phòng đầy đủ nội thất Cách Mạng Tháng 8,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 22 m²,,Tình trạng nội thất: Nội thất đầy đủ
192,"Bình Kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",2 tỷ/tháng- 100 m2,Dãy phòng trọ kiệt bê tông chính Bình Kỳ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 100 m²,Số tiền cọc: 100.000.000 đ,Tình trạng nội thất: Nhà trống
193,"98, Nguyễn sơn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","1,8 triệu/tháng- 25 m2","Phòng trọ gác lửng gần ĐH Kiến trúc,LOTTE Tiên Sơn",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,,
194,"110 Lương Trúc Đàm, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",2 triệu/tháng- 21 m2,"Phòng đầy đủ tiện nghi,sang trọng,mát mẻ,sạch sẻ",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 21 m²,,Tình trạng nội thất: Nội thất đầy đủ
195,"Đường Hải Hồ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","2,7 triệu/tháng- 40 m2",NHƯỢNG PHÒNG ĐANG THUÊ full nội thất,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
196,"17, Cẩm Băc 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","1,6 triệu/tháng- 20 m2","Phòng trọ Cẩm Lệ, rộng rãi, sạch đẹp an ninh!",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,
197,"Nguyễn Sơn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",967.000 đ/tháng- 30 m2,Phòng trọ tìm một bạn nữ ở chung quận Hải Châu,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 100.000 đ,Tình trạng nội thất: Nội thất đầy đủ
198,"Nguyễn Sơn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","2,5 triệu/tháng- 25 m2",Phòng cho thuê gần Hellio. Lotte,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 2.500.000 đ,Tình trạng nội thất: Nội thất cao cấp
199,"Trường thi 6, Phường An Khê, Quận Thanh Khê, Đà Nẵng",200.000 đ/tháng- 30 m2,Thanh lý container làm trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,,Tình trạng nội thất: Nội thất đầy đủ
200,"HTM, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","2,5 triệu/tháng- 30 m2",Phòng trọ gần khu làm việc FPT,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,,
201,"Đường Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,2 triệu/tháng- 20 m2",PHÒNG TRỌ GIÁ RẺ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.200.000 đ,Tình trạng nội thất: Nhà trống
202,"Đường Quang Trung, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng","1,5 triệu/tháng- 10 m2","Phòng trọ đường Quang Trung, Đà Nẵng",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 10 m²,,Tình trạng nội thất: Nhà trống
203,"Trần phú, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng","3,5 triệu/tháng- 30 m2",phòng trọ quận Hải Châu,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,,Tình trạng nội thất: Nội thất đầy đủ
204,"Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","2,4 triệu/tháng- 22 m2","Phòng đầy đủ nội thất, gác lững Cách Mạng Tháng 8",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 22 m²,,Tình trạng nội thất: Nội thất đầy đủ
205,"Đường Lê Văn Thủ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","1,5 triệu/tháng- 20 m2",Phòng trọ Quận Ngũ Hành Sơn 20m²,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 300.000 đ,Tình trạng nội thất: Nhà trống
206,"Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","1,6 triệu/tháng- 25 m2",Cho thuê phòng trọ mới xây dựng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,,
207,"62, Bàu Mạc 4, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",1 triệu/tháng- 40 m2,Còn phòng trọ cho thuê,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 40 m²,,
208,"Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","2,7 tỷ/tháng- 86 m2","5 Phòng trọ q.Thanh Khê, 86m2, giá ĐẦU TƯ 2,7 tỷ",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 86 m²,,
209,"134 huỳnh Lý, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","1,8 triệu/tháng- 15 m2",cho thuê phòng trọ có nội thất giá rẻ Hải Châu,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,,
210,"68/20, Nguyễn Mộng Tuân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","2,5 triệu/tháng- 35 m2","Phòng trọ cao cấp giá rẻ, ở độc lập mặt tiền",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 35 m²,,Tình trạng nội thất: Nội thất đầy đủ
211,"K361, Đường Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",800.000 đ/tháng- 20 m2,Cho thuê trọ đầu đường khu công nghiệp Hoà Khánh,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 200.000 đ,
212,"Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","10,5 tỷ/tháng- 175 m2","30 Phòng q.Thanh Khê, DÒNG TIỀN 70 triệu, 10,5 tỷ",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 175 m²,,
213,"127/15, Đường Mẹ Suốt, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",1 triệu/tháng- 14 m2,Phòng Trọ Sau Lưng Đại học Sư Phạm Hòa Khánh,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 14 m²,,Tình trạng nội thất: Nhà trống
214,"K411/2, K411/2 NGUYỄN PHƯỚC NGUYÊN, Phường An Khê, Quận Thanh Khê, Đà Nẵng","2,7 triệu/tháng- 30 m2",PHÒNG TRỌ MỚI 95% 2tr7 - NGUYỄN PHƯỚC NGUYÊN,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
215,"Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng","1,2 triệu/tháng- 20 m2",Cho thuê phòng trọ 382/31/5 Núi Thành,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.000.000 đ,
216,"Đường Vũ Trọng Phụng, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","1,5 triệu/tháng- 30 m2",Cho thuê phòng trọ ngay trung tâm Hải Châu,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,,
217,"23, Đường Lê Quang Sung, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",2 triệu/tháng- 25 m2,Cho thuê nhà trọ lối đi riêng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.000.000 đ,
218,"Đường Ngô Đức Kế, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng","1,3 triệu/tháng- 25 m2","Phòng trọ đường Ngô Đức Kế, Thanh Khê Tây",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 1.300.000 đ,Tình trạng nội thất: Nhà trống
219,"Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,6 triệu/tháng- 15 m2",Cho thuê phòng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 1.000.000 đ,
220,"Nguyễn Thuật, Phường An Khê, Quận Thanh Khê, Đà Nẵng","1,2 triệu/tháng- 25 m2",Cho thuê phòng trọ giá rẻ gần cầu vượt Ngã Ba Huế,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
221,"K151/34 Âu Cơ, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","1,8 triệu/tháng- 25 m2",Phòng trọ mới gần 500m Chợ Hòa Khánh giá tốt,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,,
222,"K62/22, Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,7 triệu/tháng- 29 m2","Phòng trọ, Nguyễn Huy Tưởng, Hoà Minh",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 29 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
223,"Thanh Lương 16, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","2,7 triệu/tháng- 42 m2",Nhà trọ khu vực Hoà Xuân,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 42 m²,Số tiền cọc: 2.000.000 đ,Tình trạng nội thất: Nhà trống
224,"164, Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","1,4 triệu/tháng- 14 m2",Cho thuê phòng trọ Hòa Xuân,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 14 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
225,"Đường Đa Mặn 2, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu/tháng- 35 m2,Cho thuê phòng trọ Đà Nẵng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 35 m²,Số tiền cọc: 1.000.000 đ,
226,"Trương Định, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",2 triệu/tháng- 15 m2,Cần cho thuê phòng trọ mới xây,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
227,"Đoàn Nguyễn Thục, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng","1,5 triệu/tháng- 17 m2",cho thuê nhà trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 17 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
228,"Mẹ Suốt, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,5 triệu/tháng- 15 m2",Dãy trọ mới xây xong gần chợ hòa khánh nam,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 150.000 đ,
229,"Đường Phạm Thị Lam Anh, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,2 triệu/tháng- 20 m2","Phòng trọ mới,đẹp,gác lửng đường Phạm Thị Lam Anh",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,,
230,"Cẩm Bắc 3, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","1,3 triệu/tháng- 20 m2",Phòng trọ giá rẻ Cẩm Bắc 3,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,,Tình trạng nội thất: Nhà trống
231,"Mai Am, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","2,3 triệu/tháng- 21 m2",Nhà trọ đường Mai Am- Hải Châu,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 21 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
232,"06, Đường Hòa An 8, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng","1,3 triệu/tháng- 22 m2",Phòng trọ ngã 3 huế,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 22 m²,Số tiền cọc: 1.000.000 đ,
233,"184-186, Đường Phạm Viết Chánh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","2,5 triệu/tháng- 26 m2",Phòng trọ mặt tiền và phòng trong Đà Nẵng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 26 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
234,"Đường Lê Bôi, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",3 triệu/tháng- 45 m2,Cho nhà nguyên căn 45m2 đường Lê Bôi nối dài.,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 45 m²,Số tiền cọc: 3.000.000 đ,
235,"Đường Nguyễn Viết Xuân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",4 triệu/tháng- 50 m2,GẤP GẤP GẤP,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 50 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
236,"Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng","2,5 triệu/tháng- 12 m2",Cho thuê phòng khách sạn theo tháng giá rẻ đà nẵng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 12 m²,Số tiền cọc: 500.000 đ,
237,"Nguyễn Mậu Tài, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","2,9 triệu/tháng- 27 m2",Phòng đầy đủ tiện nghi giá rẻ Hoà Xuân Cẩm Lệ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 27 m²,Số tiền cọc: 2.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
238,"387/33, Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",600.000 đ/tháng- 12 m2,Phòng trọ Quận Liên Chiểu 12m²,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 12 m²,Số tiền cọc: 200.000 đ,Tình trạng nội thất: Nhà trống
239,"26/1, Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",2 triệu/tháng- 16 m2,Phòng trọ ngay trung tâm. văn minh. giá rẻ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 16 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
240,"Đường Trần Huấn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",2 triệu/tháng- 18 m2,Cho thuê phòng trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 18 m²,Số tiền cọc: 500.000 đ,
241,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng","1,5 triệu/tháng- 15 m2",Cho thuê phòng trọ sinh viên gần đại họ duy tân.,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,,Tình trạng nội thất: Nhà trống
242,"Hà tông quyền, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng","1,5 triệu/tháng- 25 m2",Phòng trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 500.000 đ,
243,"Nguyễn Văn Giáp, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","2,3 triệu/tháng- 30 m2",cho thuê phòng trọ hoà xuân gần bv y học cổ truyên,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 2.000.000 đ,
244,"K18/17, Phùng Hưng, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng","2,5 triệu/tháng- 40 m2",Phòng cho thuê rộng rãi thoáng mát từ 2tr5/tháng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 40 m²,,
245,"Đường Điện Biên Phủ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","1,5 triệu/tháng- 25 m2",Ptro ttam giá rẻ cho 2-3 người ở,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 500.000 đ,
246,"Nguyễn Hiền, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng","4,5 triệu/tháng- 100 m2",Cho thuê nhà 3 tầng mặt tiền đường Nguyễn Hiền,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 100 m²,,Tình trạng nội thất: Nhà trống
247,"Đường Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","4,3 tỷ/tháng- 137 m2",Nhượng nhà trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 137 m²,,
248,"K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng","1,5 triệu/tháng- 20 m2",Phòng trọ 20m2 đường K20,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.500.000 đ,Tình trạng nội thất: Nhà trống
249,"âu cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",150.000 đ/tháng- 15 m2,phòng trọ,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 500 đ,Tình trạng nội thất: Nội thất đầy đủ
250,"Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng","4,2 triệu/tháng- 50 m2",Phòng trọ Q. Hải Châu 50m² đường Nguyễn Chí Thanh,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 50 m²,,Tình trạng nội thất: Nội thất đầy đủ
251,"K458/15, Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",2 triệu/tháng- 20 m2,"Phòng trọ mới xây gần Big C, chợ cồn có điều hòa",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,,Tình trạng nội thất: Nội thất đầy đủ
252,"Đường Lưu Đình Chất, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","3,1 tỷ/tháng- 90 m2","Bán nhà trọ đường Lưu Đình Chất,",Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 90 m²,,
253,"Đường Lê Văn Thủ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","1,6 triệu/tháng- 20 m2",Cho thuê phòng trọ Lê văn thủ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 300.000 đ,
254,"K109/24, Mẹ Suốt, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,5 triệu/tháng- 35 m2",Cho thuê phòng trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 35 m²,,
255,"Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","2,5 triệu/tháng- 30 m2","cho thuê phòng trọ, văn phòng đẹp, giá rẻ",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,,
256,"Đường Nại Hiên Đông 4, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng","4,5 triệu/tháng- 72 m2",Nhà liền kề cho thuê,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 72 m²,Số tiền cọc: 2.000.000 đ,
257,"Đường 4 Hoà Quý Gần Minh Mạng, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng","1,6 triệu/tháng- 20 m2","Trọ Hoà Quý , ngũ hành Sơn Đà Nẵng",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
258,"35, Mai Am, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","2,3 triệu/tháng- 19 m2",Cho thuê trọ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 19 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
259,"Đường Khuê Mỹ Đông 4, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",4 triệu/tháng- 40 m2,Căn Studio B.công 4tr Nội thất 100% Gần ĐH kinh tế,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 4.000.000 đ,Tình trạng nội thất: Nội thất cao cấp
260,"Đường Mẹ Nhu, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng","2,5 triệu/tháng- 25.000 m2",Phòng trọ có gác mới xây,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25000 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
261,"Đường Trần Quý Hai, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",5 triệu/tháng- 50 m2,tìm phòng trọ mặt tiền,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 50 m²,Số tiền cọc: 5.000.000 đ,Tình trạng nội thất: Nhà trống
262,"78, Nguyễn Minh Chấn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","1,8 triệu/tháng- 15 m2",Phòng trọ cao cấp Trường Duy Tân Hoà Khánh,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 1.800.000 đ,
263,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",2 triệu/tháng- 20 m2,Phòng trọ khu an ninh chính chủ,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 2.000.000 đ,Tình trạng nội thất: Nhà trống
264,"Cồn Dầu 4, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2 triệu/tháng- 20 m2,Cho thuê trọ hòa xuân,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
265,"Đường Hoà liên 4, Xã Hòa Liên, Huyện Hòa Vang, Đà Nẵng","1,2 triệu/tháng- 20 m2",cần cho thuê phòng trọ gần KCN Hoà Khánh vs KCN Ca,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
266,"Kiệt Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng","3,6 tỷ/tháng- 101 m2",CẦN TIỀN BÁN DÃY TRỌ GIÁ RẺ CHO AI ĐẦU TƯ,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 101 m²,,Tình trạng nội thất: Nội thất đầy đủ
267,"Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","3,5 triệu/tháng- 50 m2",PHÒNG DIỆN TÍCH LỚN - GẦM LOTTE,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 50 m²,,
268,"508, Đường Lê Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng","1,5 triệu/tháng- 20 m2",Cho thuê phòng trọ 20m2 tại Ngũ Hành Sơn Đà Nẵng,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
269,"04, Thanh lương 27, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","2,5 triệu/tháng- 30 m2",Phòng- căn hộ MiNi Gần cầu Hoà Xuân,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 1.000.000 đ,
270,"k260/71b Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","1,6 triệu/tháng- 27 m2",Cho thuê phòng trọ dài hạn gần chợ chính Gián,Tin môi giới đăng 2 tuần trước,Cho thuê,Diện tích: 27 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nhà trống
271,"Đường Mai Am, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","4,5 triệu/tháng- 25 m2",Phòng trọ mới xây tại Mai Am - Hải châu,Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 4.500.000 đ,
